match_id,date,tournament,tournament_tier,hunter_player,survivor1_player,survivor2_player,survivor3_player,survivor4_player,map_name,n_escaped,hunter_wins,source_file,source_row
45,2020-06-27,IVL_2020_summer_regular,IVL,xc,yjj,billy,tea,sxy,"军工厂",0,1,IVL_COA_2020-2024.json,16
46,2020-06-27,IVL_2020_summer_regular,IVL,afu,weirdo,qingc,xiaod,jiu,"军工厂",2,,IVL_COA_2020-2024.json,16
47,2020-06-27,IVL_2020_summer_regular,IVL,afu,weirdo,qingc,xiaod,jiu,"军工厂",3,0,IVL_COA_2020-2024.json,16
48,2020-06-27,IVL_2020_summer_regular,IVL,xc,yjj,billy,tea,sxy,"军工厂",1,1,IVL_COA_2020-2024.json,16
49,2020-07-03,IVL_2020_summer_regular,IVL,xc,shy,long,mk,ak,"军工厂",2,,IVL_COA_2020-2024.json,17
50,2020-07-03,IVL_2020_summer_regular,IVL,ymm,weirdo,qingc,xiaod,jiu,"军工厂",2,,IVL_COA_2020-2024.json,17
51,2020-07-03,IVL_2020_summer_regular,IVL,ken,weirdo,qingc,xiaod,jiu,"红教堂",3,0,IVL_COA_2020-2024.json,17
52,2020-07-03,IVL_2020_summer_regular,IVL,xc,iron,long,mk,ak,"红教堂",2,,IVL_COA_2020-2024.json,17
53,2020-07-03,IVL_2020_summer_regular,IVL,xc,iron,long,mk,ak,"月亮河公园",2,,IVL_COA_2020-2024.json,17
54,2020-07-03,IVL_2020_summer_regular,IVL,ken,weirdo,qingc,xiaod,jiu,"月亮河公园",0,1,IVL_COA_2020-2024.json,17
55,2020-07-03,IVL_2020_summer_regular,IVL,jiu9,zzai,445,kucao,zb,"红教堂",4,0,IVL_COA_2020-2024.json,18
56,2020-07-03,IVL_2020_summer_regular,IVL,ppxia,lion,wy,487,jelly,"红教堂",3,0,IVL_COA_2020-2024.json,18
57,2020-07-03,IVL_2020_summer_regular,IVL,xawm,lion,wy,487,jelly,"月亮河公园",2,,IVL_COA_2020-2024.json,18
58,2020-07-03,IVL_2020_summer_regular,IVL,jue,zzai,445,kucao,zb,"月亮河公园",2,,IVL_COA_2020-2024.json,18
59,2020-07-03,IVL_2020_summer_regular,IVL,jue,zzai,445,kucao,zb,"圣心医院",3,0,IVL_COA_2020-2024.json,18
60,2020-07-03,IVL_2020_summer_regular,IVL,ppxia,lion,wy,487,jelly,"圣心医院",2,,IVL_COA_2020-2024.json,18
61,2020-07-04,IVL_2020_summer_regular,IVL,ppx,blue,add,tang,huiyi,"红教堂",2,,IVL_COA_2020-2024.json,19
62,2020-07-04,IVL_2020_summer_regular,IVL,sese,maozi,f,lpz,xmm,"红教堂",3,0,IVL_COA_2020-2024.json,19
63,2020-07-04,IVL_2020_summer_regular,IVL,ppx,blue,add,tang,huiyi,"军工厂",4,0,IVL_COA_2020-2024.json,19
64,2020-07-04,IVL_2020_summer_regular,IVL,sese,maozi,f,lpz,xmm,"军工厂",0,1,IVL_COA_2020-2024.json,19
65,2020-07-04,IVL_2020_summer_regular,IVL,d,maozi,f,lpz,xmm,"军工厂",2,,IVL_COA_2020-2024.json,19
66,2020-07-04,IVL_2020_summer_regular,IVL,ppx,blue,add,tang,huiyi,"军工厂",3,0,IVL_COA_2020-2024.json,19
67,2020-07-04,IVL_2020_summer_regular,IVL,yan,zyj,"xc(仙茶)",xm,9j,"军工厂",2,,IVL_COA_2020-2024.json,20
68,2020-07-04,IVL_2020_summer_regular,IVL,dongx,bbe,youzi,xiaoci,bobo,"军工厂",2,,IVL_COA_2020-2024.json,20
69,2020-07-04,IVL_2020_summer_regular,IVL,yan,zyj,"xc(仙茶)",xm,22,"红教堂",2,,IVL_COA_2020-2024.json,20
70,2020-07-04,IVL_2020_summer_regular,IVL,dongx,bbe,youzi,xiaoci,bobo,"红教堂",2,,IVL_COA_2020-2024.json,20
71,2020-07-04,IVL_2020_summer_regular,IVL,yan,zyj,ww,xm,22,"红教堂",3,0,IVL_COA_2020-2024.json,20
72,2020-07-04,IVL_2020_summer_regular,IVL,dongx,bbe,youzi,xiaoci,bobo,"红教堂",0,1,IVL_COA_2020-2024.json,20
73,2020-07-04,IVL_2020_summer_regular,IVL,ppxia,yjj,billy,tea,sxy,"月亮河公园",3,0,IVL_COA_2020-2024.json,21
74,2020-07-04,IVL_2020_summer_regular,IVL,afu,zzai,445,kucao,zb,"月亮河公园",2,,IVL_COA_2020-2024.json,21
