canonical_id,known_roles,first_seen,last_seen,n_games
anaisn,survivor,2021-03-06,2021-03-06,2
anakin,hunter,2024-03-16,2024-03-16,1
anchan,survivor,2021-03-06,2021-09-11,26
angeld,survivor,2022-06-24,2022-07-01,5
anivia,survivor,2021-09-11,2021-09-11,3
ann,survivor,2023-02-24,2023-02-26,5
anne,both,2024-07-20,2025-03-02,6
anomaly,survivor,2022-08-26,2023-02-26,10
anomoaly,survivor,2022-08-28,2022-08-28,1
anyi,hunter,2021-08-06,2023-10-22,164
aoi,survivor,2024-03-09,2024-03-09,3
aoran,survivor,2022-07-30,2022-07-30,2
apollo,survivor,2021-03-05,2023-03-05,14
appai,survivor,2023-02-18,2026-04-17,280
aq,survivor,2023-02-17,2023-02-19,4
aqua,survivor,2025-02-23,2025-04-19,15
ares,hunter,2020-10-02,2021-03-07,14
arisa,hunter,2026-03-08,2026-03-08,1
arteon,survivor,2023-06-24,2023-06-25,5
aru,both,2020-08-14,2021-09-11,11
arvin,survivor,2023-03-04,2023-03-19,10
asama,survivor,2022-08-20,2022-08-20,3
aspartame,survivor,2025-02-23,2025-02-23,4
astel,survivor,2026-03-08,2026-03-08,1
atabomon,survivor,2022-02-26,2022-02-27,6
atto,survivor,2020-08-08,2026-05-03,532
auchan,hunter,2026-02-27,2026-03-07,6
aurora,survivor,2020-10-02,2022-08-27,24
avagg,survivor,2025-05-31,2025-07-13,38
avodoca,survivor,2026-02-28,2026-03-01,3
awa,survivor,2025-03-07,2025-03-09,4
awei,survivor,2022-07-09,2022-07-09,1
awideness,survivor,2024-07-14,2024-07-14,3
ay,survivor,2024-07-20,2024-07-20,2
aya,survivor,2021-03-06,2021-12-26,72
ayaka,survivor,2020-10-11,2020-10-24,8
ayako:3,hunter,2021-08-08,2021-09-05,11
ayane,survivor,2024-03-09,2024-03-09,2
ayi,hunter,2021-03-13,2021-03-13,3
az,survivor,2021-08-07,2021-08-14,5
b9,survivor,2022-02-26,2022-02-27,6
ba1x,survivor,2023-03-04,2023-12-10,17
baabel,survivor,2024-08-23,2024-08-25,6
baba,survivor,2022-07-02,2022-07-02,2
babaolan,hunter,2021-03-27,2021-03-28,3
baby,hunter,2026-03-05,2026-03-07,5
babyfish,survivor,2022-06-25,2022-06-25,2
babytop,survivor,2021-08-08,2026-04-17,33
bagguli,survivor,2022-02-20,2022-02-20,5
bai(hmt),survivor,2024-03-09,2024-03-09,3
bailu,hunter,2024-07-27,2026-05-05,180
bakocha,hunter,2020-10-11,2020-10-24,4
bama,survivor,2021-03-13,2021-03-14,6
ban,survivor,2022-08-26,2023-09-30,13
banban,survivor,2021-11-13,2024-04-21,160
banbang,hunter,2022-07-02,2022-07-02,3
banche,survivor,2026-03-05,2026-03-22,8
baobao,survivor,2022-07-03,2022-07-03,2
baron,survivor,2021-09-11,2023-02-19,30
bashi,hunter,2020-08-07,2022-03-11,51
batoru,survivor,2022-12-03,2026-03-15,213
bb,survivor,2020-08-15,2024-03-16,46
bbb,survivor,2026-02-28,2026-03-01,6
bbe,survivor,2020-06-27,2024-03-31,374
bcren,hunter,2024-03-09,2025-03-01,10
bebi,hunter,2021-06-13,2021-11-13,2
beifang,survivor,2022-07-03,2025-02-22,11
beilu,survivor,2024-03-17,2026-03-07,12
beimeng,survivor,2023-03-04,2023-03-04,1
beloin,both,2021-03-06,2022-08-26,4
beni,survivor,2022-12-03,2022-12-03,2
benz,survivor,2021-08-08,2021-09-05,20
bibig,survivor,2022-07-31,2022-07-31,2
bigpig,survivor,2025-02-22,2025-02-22,3
billy,survivor,2020-06-25,2022-04-10,250
bin,hunter,2024-03-09,2024-07-27,4
binbin,hunter,2025-04-11,2025-04-11,1
binchilln,survivor,2023-02-17,2023-02-17,1
"bin chi l l n",survivor,2023-02-17,2023-02-17,1
biran,survivor,2020-10-10,2020-10-24,6
bita,hunter,2022-07-02,2022-07-02,2
bj,survivor,2026-02-28,2026-02-28,4
black,survivor,2022-07-02,2022-07-10,7
bleum,survivor,2021-08-08,2021-08-15,8
bloom,survivor,2021-03-05,2021-03-12,8
blue,survivor,2020-06-26,2026-02-28,207
bmao,survivor,2020-11-05,2021-07-16,32
bo1,hunter,2020-11-12,2025-06-29,145
bobo,survivor,2020-06-27,2022-11-20,372
bodragon,survivor,2021-09-11,2021-09-12,5
boss,survivor,2023-07-29,2026-03-01,16
bossy,survivor,2022-02-19,2023-06-24,25
bot,hunter,2022-12-03,2022-12-04,5
boyboss,hunter,2022-06-25,2022-07-01,5
boym,survivor,2024-08-23,2024-08-25,6
boyman,survivor,2024-03-10,2025-03-02,6
br,survivor,2023-06-25,2023-06-25,2
braveman,hunter,2023-03-12,2025-03-22,6
bread,survivor,2023-02-18,2023-02-18,3
brontal,both,2022-07-30,2026-03-14,183
bronya,survivor,2026-03-07,2026-03-07,2
bull,survivor,2021-08-27,2025-03-01,3
bunnybean,survivor,2022-06-24,2022-06-24,2
buri,hunter,2026-02-28,2026-03-13,8
burio,hunter,2021-09-11,2026-03-14,239
bww,survivor,2023-02-24,2025-03-09,7
bye,survivor,2025-11-14,2026-04-19,23
c1,survivor,2025-03-07,2025-03-22,12
cafe,survivor,2020-10-10,2022-08-26,57
cai,survivor,2022-07-03,2022-07-03,3
cake,survivor,2022-08-20,2025-03-02,29
calendar,survivor,2021-02-26,2022-09-25,28
camelon,hunter,2022-12-03,2022-12-03,1
canj,survivor,2021-03-21,2021-04-16,15
capedbaldy,hunter,2022-06-25,2022-07-02,6
capt.kun,survivor,2021-08-27,2022-09-11,4
captkun,survivor,2020-10-03,2023-09-28,101
cat,survivor,2021-06-13,2025-03-01,14
catkarry,survivor,2023-07-30,2023-08-05,8
catkerry,survivor,2021-08-08,2021-08-22,9
cc,survivor,2023-02-18,2024-04-20,31
"cc487嗝嗝",survivor,2021-11-13,2021-11-13,2
cedric,survivor,2022-08-20,2022-08-28,8
century,survivor,2022-06-25,2022-06-25,2
cerberus,hunter,2022-08-20,2022-08-27,6
cf,survivor,2021-10-30,2021-12-26,35
ch,survivor,2022-02-19,2024-07-20,21
chai,survivor,2023-06-24,2023-06-25,7
chamkkae,hunter,2023-06-24,2023-06-24,1
chanim,survivor,2022-08-19,2023-08-05,6
chant,survivor,2022-07-30,2022-07-31,10
chao,survivor,2021-03-27,2021-03-28,5
chapha,survivor,2022-08-19,2022-09-11,10
charlie,hunter,2024-07-27,2024-07-27,2
cheese,survivor,2025-03-01,2025-03-02,10
chen,survivor,2023-06-23,2026-03-21,328
chengzi,survivor,2024-07-27,2024-07-27,3
chenxi,survivor,2025-09-11,2025-09-12,5
cheonma,survivor,2026-02-28,2026-03-01,5
chewy,survivor,2021-08-08,2021-08-15,8
chicken,survivor,2022-02-20,2022-02-20,2
chii,survivor,2024-07-27,2024-07-27,3
chiji,hunter,2023-02-25,2023-02-25,1
chikin,hunter,2022-12-03,2025-12-07,172
chillbot,hunter,2026-02-28,2026-02-28,2
chiseru,survivor,2022-02-19,2022-02-19,2
chito,survivor,2022-07-30,2022-08-07,7
chloe,survivor,2023-02-24,2023-02-24,2
choai,hunter,2023-03-11,2026-05-01,415
choco,both,2023-02-18,2026-03-13,15
chocopie,survivor,2021-08-08,2021-09-05,24
chomong,survivor,2023-02-17,2023-02-19,7
chopaeng,survivor,2022-02-27,2022-02-27,1
chouchou,survivor,2021-08-08,2021-09-05,21
chun,survivor,2020-10-10,2020-10-10,2
chz,both,2020-06-25,2022-10-06,106
citie,survivor,2026-03-06,2026-05-05,34
city,survivor,2020-08-07,2026-05-03,564
cloudy,survivor,2022-02-21,2022-02-21,3
clover,survivor,2025-03-06,2026-04-18,50
co,survivor,2026-02-28,2026-02-28,3
co1a,survivor,2024-09-26,2024-09-26,2
coccyx,survivor,2024-07-20,2024-07-20,2
cok,survivor,2024-03-09,2024-03-30,11
cokwu9,survivor,2025-03-07,2025-03-09,5
coldsnow,survivor,2025-03-01,2025-03-02,5
conan,survivor,2021-08-07,2021-08-14,5
coo1,survivor,2026-02-28,2026-04-18,17
cood,survivor,2023-02-17,2023-06-25,10
cookie(hmt),survivor,2022-07-03,2022-07-03,2
cookie(kor),survivor,2022-07-30,2022-07-30,3
cookie(sea),survivor,2023-02-24,2023-02-24,3
corn,survivor,2026-03-06,2026-03-21,14
cos,survivor,2021-09-11,2021-09-12,5
couple,survivor,2024-03-17,2024-03-17,2
cousin,survivor,2022-02-26,2022-02-27,5
cover,survivor,2022-02-19,2025-03-02,22
cqi,survivor,2022-07-03,2022-07-10,7
craby,survivor,2026-03-07,2026-03-07,2
craevings,survivor,2024-07-14,2024-07-14,3
crazy,hunter,2020-09-13,2021-05-01,8
crimson,hunter,2024-03-09,2024-03-09,1
ct,survivor,2026-02-28,2026-02-28,1
cute,survivor,2026-02-28,2026-04-18,17
cutemei0v0,survivor,2026-03-01,2026-03-01,3
cx,survivor,2023-02-18,2023-06-24,6
cxiao,survivor,2026-03-08,2026-03-15,3
cxx,hunter,2025-03-07,2025-03-22,8
cy,both,2022-07-03,2025-04-18,92
cynic,hunter,2022-07-03,2022-07-03,1
czai,survivor,2020-11-05,2026-03-21,607
d,hunter,2020-06-26,2026-03-15,468
d(jpn),survivor,2022-12-03,2022-12-03,2
d0yo,survivor,2023-02-18,2023-02-19,6
d4kiri,survivor,2023-06-24,2024-07-15,14
d4vid,survivor,2023-02-17,2023-02-17,2
da1,survivor,2023-07-08,2023-07-08,2
da9rk,survivor,2021-08-07,2025-03-02,6
dacho,survivor,2021-06-18,2025-03-09,218
daddy,both,2020-10-02,2022-02-25,23
daegum,hunter,2022-02-20,2022-02-20,2
daegun,hunter,2022-02-20,2022-02-20,3
dahai,survivor,2025-03-06,2026-03-08,32
