player_id,role,beta,n_games,first_seen,last_seen
い​わ姉さん,hunter,0.21742954910139417,2,2021-06-12,2021-06-12
hetian,hunter,0.21714306519833965,23,2024-03-09,2025-04-19
jiala,hunter,0.21405237336150762,9,2024-08-24,2026-04-17
pipicha,hunter,0.2128911670358073,141,2021-03-13,2026-05-02
lb,hunter,0.21183298057517938,15,2021-08-08,2026-03-08
hachi,hunter,0.20144661541778366,4,2024-07-27,2025-02-23
yk,hunter,0.2009437439100135,1,2021-11-28,2023-07-08
fashi,hunter,0.20078260696003591,5,2025-02-22,2026-02-28
hibiyan,hunter,0.1999769670972634,9,2020-08-08,2022-02-19
miaopai,hunter,0.19850372536832284,57,2023-02-25,2026-04-18
koi,hunter,0.19224189665045283,1,2022-07-30,2022-07-30
stone,hunter,0.19224189665045283,1,2022-03-19,2022-07-30
xj,hunter,0.19214949844304544,2,2022-08-07,2022-08-07
darkowo,hunter,0.1861266124904268,5,2022-04-19,2022-04-20
gyehwa,hunter,0.18429497352973215,3,2025-03-01,2025-03-01
happy,hunter,0.17340599685139108,1,2024-07-20,2024-07-20
guaguasin,hunter,0.17330419077718062,5,2025-02-22,2025-02-23
haruka,hunter,0.17227011151282462,8,2020-08-07,2024-03-10
tzym,hunter,0.16976162430140998,123,2024-03-09,2025-11-22
source,hunter,0.1657178419883973,10,2021-03-21,2021-04-17
lx,hunter,0.16245495125627368,6,2023-06-24,2023-06-25
kasume,hunter,0.15933814771074228,1,2025-03-01,2025-03-01
sea,hunter,0.15696010752074868,1,2026-03-22,2026-03-22
mkmldy,hunter,0.15208958146902163,92,2024-03-09,2026-05-01
cxx,hunter,0.15056066455140804,8,2025-03-07,2025-03-22
latty,hunter,0.14677861951788201,148,2021-02-26,2026-03-14
xc,hunter,0.14598845097918897,632,2020-06-26,2025-09-11
ragineko,hunter,0.13885334218911574,4,2022-03-05,2022-03-11
superman丿,hunter,0.13883835745638476,1,2021-06-13,2021-06-13
signf,hunter,0.13621099566069775,3,2022-08-21,2022-08-21
sneaky,hunter,0.1361346297405708,28,2022-02-26,2023-09-28
maru,hunter,0.1346939501262998,1,2022-07-10,2022-12-03
km,hunter,0.13278296404960588,8,2023-07-08,2023-07-09
babaolan,hunter,0.13032033938182486,3,2021-03-27,2021-03-28
箫箫,hunter,0.12682295687213233,6,2021-03-21,2021-04-17
p1um,hunter,0.12534156063162694,4,2023-02-18,2023-02-19
nanami,hunter,0.12518842600863472,3,2022-02-26,2023-02-25
demi,hunter,0.12437094541785343,11,2021-11-13,2023-07-09
