player_id,role,beta,n_games,first_seen,last_seen
siesta,hunter,0.004832205460816679,2,2023-02-24,2023-02-24
kkangtae,hunter,0.004735069893280458,6,2023-02-17,2023-06-25
potterzzz,hunter,0.00468841192100755,2,2022-08-20,2023-02-26
seres,hunter,0.004551377022007706,2,2023-02-18,2023-02-18
end,hunter,0.0040155534721016,8,2022-07-03,2025-02-22
nanami,hunter,0.003964309072918481,3,2022-02-26,2023-02-25
ukg,hunter,0.0038415478179528095,10,2021-03-13,2022-10-02
zenuwu,hunter,0.0030136146951110897,5,2023-02-24,2023-02-26
yasu,hunter,0.0024093955138638126,6,2022-02-26,2022-02-27
tofu,hunter,0.0022768452036272405,2,2022-02-19,2024-08-30
karyl,hunter,0.0018900080978241016,9,2022-02-25,2022-08-21
senky,hunter,0.001569681472973915,1,2022-02-27,2022-02-27
freddy,hunter,0.0015694373946437872,6,2026-03-06,2026-03-21
lan,hunter,0.0014334085390697853,2,2022-03-20,2022-03-27
zhengm,hunter,0.0012030601537037424,2,2021-12-19,2021-12-19
ivory,hunter,0.0011321622217328672,10,2020-08-07,2024-05-04
ken,hunter,0.001123896834160396,135,2020-06-25,2021-08-29
72s,hunter,0.0010995454751702377,4,2020-10-02,2022-02-25
mayu,hunter,0.0008432247504595743,2,2021-03-13,2021-03-13
shi,hunter,0.0008148928220148668,10,2020-10-02,2021-09-12
nagato,hunter,0.000807288139580364,3,2022-02-26,2022-02-26
daegun,hunter,0.0008040332410541958,3,2022-02-20,2022-02-20
yollo,hunter,0.0008009821204712605,3,2022-02-19,2022-02-19
magu,hunter,0.0005344609096013805,6,2021-03-06,2021-11-14
superq,hunter,0.0004269731534731861,4,2021-03-14,2021-03-14
taku,hunter,0.0002659982805963214,5,2021-03-05,2021-07-04
kaeru(kp),hunter,0.00026192819598126917,1,2021-03-05,2021-03-05
ayi,hunter,0.0002144003036097525,3,2021-03-13,2021-03-13
you0,hunter,0.0002132667013101725,3,2021-03-13,2026-03-01
source,hunter,0.0002092573360887657,10,2021-03-21,2021-04-17
mian,hunter,0.0001390218826690672,1,2020-11-19,2020-11-19
musan,hunter,7.441160168458654e-05,2,2020-10-11,2022-03-06
jihyun,hunter,4.616331936598299e-05,8,2021-02-26,2021-02-27
k1li2,hunter,7.310320394214831e-06,2,2021-02-27,2021-02-27
ares,hunter,6.1598400807590385e-06,2,2020-10-02,2021-03-07
sinto,hunter,5.618496348385889e-06,2,2021-03-13,2022-07-31
beloin,hunter,-9.675629709129462e-05,1,2021-03-06,2022-08-26
wh2t3zz,hunter,-9.899381191388892e-05,1,2021-03-06,2021-03-06
mone,hunter,-0.00011695161750599233,4,2020-08-14,2026-03-14
akn,hunter,-0.00019726640895936911,2,2021-03-13,2021-03-13
