tau,split,test_season,rmse,null_rmse,r2,n_test
29.999999999999996,1,2021,1.215101328371426,1.1855754399729566,-0.0504287584041081,1324
29.999999999999996,2,2022,1.1009420856215841,1.1204102592069434,0.03444994293285131,1410
29.999999999999996,3,2023,1.121925065527534,1.092687291607887,-0.05423132785876916,1160
29.999999999999996,4,2024,1.107875049498431,1.1606641160121933,0.08889496198953084,1714
29.999999999999996,5,2025,1.0743459995392952,1.1455956444273754,0.1205206748479577,2260
37.24118099745335,1,2021,1.2000519827143974,1.1855754399729566,-0.024570222380970064,1324
37.24118099745335,2,2022,1.0981327824457305,1.1204102592069434,0.039371295416032015,1410
37.24118099745335,3,2023,1.1172318655643503,1.092687291607887,-0.045429724232189495,1160
37.24118099745335,4,2024,1.1099223955312127,1.1606641160121933,0.08552441788202991,1714
37.24118099745335,5,2025,1.0701457420264695,1.1455956444273754,0.12738404762613442,2260
46.23018540283602,1,2021,1.1876118618911513,1.1855754399729566,-0.003438281184334535,1324
46.23018540283602,2,2022,1.0951662029617404,1.1204102592069434,0.04455451577706959,1410
46.23018540283602,3,2023,1.1125387342587292,1.092687291607887,-0.03666514430482137,1160
46.23018540283602,4,2024,1.1129615520192608,1.1606641160121933,0.08050958185702406,1714
46.23018540283602,5,2025,1.0653179098224033,1.1455956444273754,0.13523968890299198,2260
57.38889007109474,1,2021,1.17860873429674,1.1855754399729566,0.011717916016020569,1324
57.38889007109474,2,2022,1.0923682672900272,1.1204102592069434,0.049430232627725834,1410
57.38889007109474,3,2023,1.1083571954979956,1.092687291607887,-0.02888706170550992,1160
57.38889007109474,4,2024,1.1165716392113652,1.1606641160121933,0.07453484863930693,1714
57.38889007109474,5,2025,1.0606968091835416,1.1455956444273754,0.14272567448164153,2260
71.24100141268643,1,2021,1.1725028514569402,1.1855754399729566,0.021931150909594743,1324
71.24100141268643,2,2022,1.090015828727266,1.1204102592069434,0.053519969098788533,1410
71.24100141268643,3,2023,1.1050232523131847,1.092687291607887,-0.02270657780307417,1160
71.24100141268643,4,2024,1.1201942098947262,1.1606641160121933,0.06852000591200413,1714
71.24100141268643,5,2025,1.0568086873848983,1.1455956444273754,0.14899905599637442,2260
88.43663426832285,1,2021,1.168425358305563,1.1855754399729566,0.028721982299148907,1324
88.43663426832285,2,2022,1.0882747990802428,1.1204102592069434,0.05654108812342851,1410
88.43663426832285,3,2023,1.1025904913431197,1.092687291607887,-0.018208460834876483,1160
88.43663426832285,4,2024,1.123353190420929,1.1606641160121933,0.0632589964508008,1714
88.43663426832285,5,2025,1.0537206259693928,1.1455956444273754,0.15396514627076086,2260
109.78282345307318,1,2021,1.1656359816069901,1.1855754399729566,0.033353902256440415,1324
109.78282345307318,2,2022,1.0871802236715489,1.1204102592069434,0.05843797591697619,1410
109.78282345307318,3,2023,1.1010392537443352,1.092687291607887,-0.015345435676262786,1160
109.78282345307318,4,2024,1.1258426339099576,1.1606641160121933,0.059102605167414723,1714
109.78282345307318,5,2025,1.0513218653539613,1.1455956444273754,0.15781270332730546,2260
136.2813999542456,1,2021,1.1636536210806079,1.1855754399729566,0.036638995805099106,1324
136.2813999542456,2,2022,1.08666836995023,1.1204102592069434,0.05932435807180303,1410
136.2813999542456,3,2023,1.1003079074249271,1.092687291607887,-0.013997032292067724,1160
136.2813999542456,4,2024,1.127658136652129,1.1606641160121933,0.05606562815401184,1714
136.2813999542456,5,2025,1.0495904330527877,1.1455956444273754,0.16058443210639906,2260
169.17600940941313,1,2021,1.1621990063742338,1.1855754399729566,0.03904597191163495,1324
169.17600940941313,2,2022,1.0866200585332368,1.1204102592069434,0.05940799787256901,1410
169.17600940941313,3,2023,1.1002686058041264,1.092687291607887,-0.013924596176939419,1160
169.17600940941313,4,2024,1.1289449753409495,1.1606641160121933,0.0539100380711357,1714
169.17600940941313,5,2025,1.048641364481164,1.1455956444273754,0.16210179111932776,2260
210.01047956142742,1,2021,1.1610964575152403,1.1855754399729566,0.0408683727251592,1324
210.01047956142742,2,2022,1.0868849547211736,1.1204102592069434,0.05894934702432808,1410
210.01047956142742,3,2023,1.1006538290255496,1.092687291607887,-0.014634705822657468,1160
210.01047956142742,4,2024,1.1299451829710743,1.1606641160121933,0.05223288708770779,1714
210.01047956142742,5,2025,1.0485083827107062,1.1455956444273754,0.16231429107584527,2260
260.7012760236364,1,2021,1.1602460705959698,1.1855754399729566,0.042272794036858685,1324
260.7012760236364,2,2022,1.0873492734914156,1.1204102592069434,0.058145138975787436,1410
260.7012760236364,3,2023,1.1011674566285945,1.092687291607887,-0.015581899165306501,1160
260.7012760236364,4,2024,1.1307553036289977,1.1606641160121933,0.05087338581278755,1714
260.7012760236364,5,2025,1.0489715356598979,1.1455956444273754,0.1615740732529377,2260
323.62744688877655,1,2021,1.1595939719330273,1.1855754399729566,0.043349043535582554,1324
323.62744688877655,2,2022,1.0879196338795694,1.1204102592069434,0.05715679492049408,1410
323.62744688877655,3,2023,1.1016587830510063,1.092687291607887,-0.016488379896875127,1160
323.62744688877655,4,2024,1.1312868231466018,1.1606641160121933,0.049980888761422926,1714
323.62744688877655,5,2025,1.0497820855573903,1.1455956444273754,0.1602778538855948,2260
401.7422775109552,1,2021,1.1590777259724716,1.1855754399729566,0.044200647235108415,1324
401.7422775109552,2,2022,1.0885344157502719,1.1204102592069434,0.05609089507083165,1410
401.7422775109552,3,2023,1.10205127520745,1.092687291607887,-0.01721280526800406,1160
401.7422775109552,4,2024,1.1315587512139105,1.1606641160121933,0.049524120585873854,1714
401.7422775109552,5,2025,1.0506864983917772,1.1455956444273754,0.15883034846248512,2260
498.7118957038203,1,2021,1.1586714022119078,1.1855754399729566,0.04487065565066617,1324
498.7118957038203,2,2022,1.0891485017918745,1.1204102592069434,0.055025600493088356,1410
498.7118957038203,3,2023,1.1023532153841948,1.092687291607887,-0.01777027386478891,1160
498.7118957038203,4,2024,1.1316589977401217,1.1606641160121933,0.04935570489266883,1714
