half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start
29.999999999999996,1,1520,1516,1.1564559998634263,1.1537480507648972,426
29.999999999999996,2,3036,1516,1.0777623316711362,1.09055673129318,679
29.999999999999996,3,4552,1516,1.1444655494954883,1.154605324976626,989
29.999999999999996,4,6068,1516,1.1074799887635496,1.1625760678151191,769
29.999999999999996,5,7584,1516,1.041941319246155,1.1384964393796808,404
37.24118099745335,1,1520,1516,1.1535836219180948,1.1537480507648972,426
37.24118099745335,2,3036,1516,1.076032164670881,1.09055673129318,679
37.24118099745335,3,4552,1516,1.1466816473061199,1.154605324976626,989
37.24118099745335,4,6068,1516,1.1066390278020461,1.1625760678151191,769
37.24118099745335,5,7584,1516,1.040704386543115,1.1384964393796808,404
46.23018540283602,1,1520,1516,1.1492391520472172,1.1537480507648972,426
46.23018540283602,2,3036,1516,1.0746397324398627,1.09055673129318,679
46.23018540283602,3,4552,1516,1.1493450053326557,1.154605324976626,989
46.23018540283602,4,6068,1516,1.1072745857856083,1.1625760678151191,769
46.23018540283602,5,7584,1516,1.0395997651543942,1.1384964393796808,404
57.38889007109474,1,1520,1516,1.1444020303679305,1.1537480507648972,426
57.38889007109474,2,3036,1516,1.073399592529648,1.09055673129318,679
57.38889007109474,3,4552,1516,1.1515258362063112,1.154605324976626,989
57.38889007109474,4,6068,1516,1.1082794365075987,1.1625760678151191,769
57.38889007109474,5,7584,1516,1.0386356182781882,1.1384964393796808,404
71.24100141268643,1,1520,1516,1.1402575582032306,1.1537480507648972,426
71.24100141268643,2,3036,1516,1.0722432830638298,1.09055673129318,679
71.24100141268643,3,4552,1516,1.152626310673407,1.154605324976626,989
71.24100141268643,4,6068,1516,1.1091999178012524,1.1625760678151191,769
71.24100141268643,5,7584,1516,1.037916223450317,1.1384964393796808,404
88.43663426832285,1,1520,1516,1.1374722045386823,1.1537480507648972,426
88.43663426832285,2,3036,1516,1.0712782696448415,1.09055673129318,679
88.43663426832285,3,4552,1516,1.153049448510359,1.154605324976626,989
88.43663426832285,4,6068,1516,1.1100572163841032,1.1625760678151191,769
88.43663426832285,5,7584,1516,1.037493889357976,1.1384964393796808,404
109.78282345307318,1,1520,1516,1.1360648143918466,1.1537480507648972,426
109.78282345307318,2,3036,1516,1.0706339373127092,1.09055673129318,679
109.78282345307318,3,4552,1516,1.1534088141486065,1.154605324976626,989
109.78282345307318,4,6068,1516,1.1110768362189465,1.1625760678151191,769
109.78282345307318,5,7584,1516,1.037318323882492,1.1384964393796808,404
136.2813999542456,1,1520,1516,1.1357077920183876,1.1537480507648972,426
136.2813999542456,2,3036,1516,1.070384922983872,1.09055673129318,679
136.2813999542456,3,4552,1516,1.1539956601729422,1.154605324976626,989
136.2813999542456,4,6068,1516,1.1124384567098577,1.1625760678151191,769
136.2813999542456,5,7584,1516,1.0373014506063012,1.1384964393796808,404
169.17600940941313,1,1520,1516,1.1360196022429387,1.1537480507648972,426
169.17600940941313,2,3036,1516,1.0705748579666268,1.09055673129318,679
169.17600940941313,3,4552,1516,1.1547851717901412,1.154605324976626,989
169.17600940941313,4,6068,1516,1.114151457636182,1.1625760678151191,769
169.17600940941313,5,7584,1516,1.037414625348688,1.1384964393796808,404
210.01047956142742,1,1520,1516,1.1366950265110634,1.1537480507648972,426
210.01047956142742,2,3036,1516,1.0711862918791903,1.09055673129318,679
210.01047956142742,3,4552,1516,1.155621749436121,1.154605324976626,989
210.01047956142742,4,6068,1516,1.1161031673013628,1.1625760678151191,769
210.01047956142742,5,7584,1516,1.0377322831303086,1.1384964393796808,404
260.7012760236364,1,1520,1516,1.1375271209157167,1.1537480507648972,426
260.7012760236364,2,3036,1516,1.0721226692704886,1.09055673129318,679
260.7012760236364,3,4552,1516,1.1563913434038247,1.154605324976626,989
260.7012760236364,4,6068,1516,1.1181493354737646,1.1625760678151191,769
260.7012760236364,5,7584,1516,1.0383508201119545,1.1384964393796808,404
323.62744688877655,1,1520,1516,1.1383891132349877,1.1537480507648972,426
323.62744688877655,2,3036,1516,1.0732505867663418,1.09055673129318,679
323.62744688877655,3,4552,1516,1.1570606865407493,1.154605324976626,989
323.62744688877655,4,6068,1516,1.120153854893337,1.1625760678151191,769
323.62744688877655,5,7584,1516,1.0392479999378241,1.1384964393796808,404
401.7422775109552,1,1520,1516,1.1392099363848494,1.1537480507648972,426
401.7422775109552,2,3036,1516,1.0744474502005672,1.09055673129318,679
401.7422775109552,3,4552,1516,1.1576407455004338,1.154605324976626,989
401.7422775109552,4,6068,1516,1.1220298777271691,1.1625760678151191,769
401.7422775109552,5,7584,1516,1.0402886695483626,1.1384964393796808,404
498.7118957038203,1,1520,1516,1.1399542096854358,1.1537480507648972,426
498.7118957038203,2,3036,1516,1.0756228345575463,1.09055673129318,679
498.7118957038203,3,4552,1516,1.158153148287367,1.154605324976626,989
498.7118957038203,4,6068,1516,1.1237496433255438,1.1625760678151191,769
498.7118957038203,5,7584,1516,1.0413368106281171,1.1384964393796808,404
619.0873324496347,1,1520,1516,1.1406082069360777,1.1537480507648972,426
619.0873324496347,2,3036,1516,1.0767197044635552,1.09055673129318,679
619.0873324496347,3,4552,1516,1.1586155959137223,1.154605324976626,989
619.0873324496347,4,6068,1516,1.1253108630472184,1.1625760678151191,769
619.0873324496347,5,7584,1516,1.0423113436857212,1.1384964393796808,404
768.5181133662479,1,1520,1516,1.1411706816532163,1.1537480507648972,426
768.5181133662479,2,3036,1516,1.0777076837402877,1.09055673129318,679
768.5181133662479,3,4552,1516,1.1590378252321036,1.154605324976626,989
768.5181133662479,4,6068,1516,1.1267127076919994,1.1625760678151191,769
768.5181133662479,5,7584,1516,1.0431785813753303,1.1384964393796808,404
954.0174053231276,1,1520,1516,1.1416470981503724,1.1537480507648972,426
954.0174053231276,2,3036,1516,1.078575129199804,1.09055673129318,679
954.0174053231276,3,4552,1516,1.1594228852737674,1.154605324976626,989
954.0174053231276,4,6068,1516,1.1279538127104751,1.1625760678151191,769
954.0174053231276,5,7584,1516,1.0439310806145299,1.1384964393796808,404
1184.2911622119798,1,1520,1516,1.1420461105271802,1.1537480507648972,426
1184.2911622119798,2,3036,1516,1.0793224337541074,1.09055673129318,679
1184.2911622119798,3,4552,1516,1.1597704134682387,1.154605324976626,989
1184.2911622119798,4,6068,1516,1.129036172336009,1.1625760678151191,769
1184.2911622119798,5,7584,1516,1.0445734425559643,1.1384964393796808,404
1470.1467175206903,1,1520,1516,1.142377481494943,1.1537480507648972,426
1470.1467175206903,2,3036,1516,1.0799570467375896,1.09055673129318,679
1470.1467175206903,3,4552,1516,1.160079472963254,1.154605324976626,989
1470.1467175206903,4,6068,1516,1.1299668569285117,1.1625760678151191,769
1470.1467175206903,5,7584,1516,1.0451153238011153,1.1384964393796808,404
1824.9999999999995,1,1520,1516,1.1426509058546717,1.1537480507648972,426
1824.9999999999995,2,3036,1516,1.0804900337558867,1.09055673129318,679
1824.9999999999995,3,4552,1516,1.1603500777333247,1.154605324976626,989
1824.9999999999995,4,6068,1516,1.1307573444457106,1.1625760678151191,769
1824.9999999999995,5,7584,1516,1.0455682425211124,1.1384964393796808,404
inf,1,1520,1516,1.1438459337883498,1.1537480507648972,426
inf,2,3036,1516,1.0829151473455223,1.09055673129318,679
inf,3,4552,1516,1.1617234970762516,1.154605324976626,989
inf,4,6068,1516,1.1344575841223328,1.1625760678151191,769
inf,5,7584,1516,1.0476081143730414,1.1384964393796808,404
