tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
10.0,0.2,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1385151069857236,1.154605324976626,0.0276771698993441
10.0,0.2,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1318188413293069,1.1625760678151191,0.052212271051522485
10.0,0.2,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0541245138259758,1.1384964393796808,0.14272438075131988
10.0,0.3,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1265345021279984,1.1537480507648972,0.046617811457422165
10.0,0.3,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0676387279586415,1.09055673129318,0.04158828651652058
10.0,0.3,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1376394200031605,1.154605324976626,0.029172315627504664
10.0,0.3,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1317253505378004,1.1625760678151191,0.05236884339694514
10.0,0.3,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0541072015808481,1.1384964393796808,0.14275253917775876
10.0,0.5,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1291544978631993,1.1537480507648972,0.04217806831132054
10.0,0.5,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0678852688221572,1.09055673129318,0.041145599440413516
10.0,0.5,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1368485341408414,1.154605324976626,0.030521683423789914
10.0,0.5,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1315533463833736,1.1625760678151191,0.05265687106954653
10.0,0.5,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.0540731657720974,1.1384964393796808,0.14280789718980647
10.0,0.8,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1333582454752662,1.1537480507648972,0.035033011158796534
10.0,0.8,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.0693900951449258,1.09055673129318,0.03844132767575403
10.0,0.8,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.136283838839556,1.154605324976626,0.03148456258759813
10.0,0.8,110.0,2023-01-01,4,2024-10-19→2025-07-25,1.1313309754170455,1.1625760678151191,0.05302917505020255
10.0,0.8,110.0,2023-01-01,5,2025-07-25→2026-05-05,1.054023504186369,1.1384964393796808,0.14288866675623102
10.0,1.0,110.0,2023-01-01,1,2021-07-11→2022-08-06,1.1360573985572937,1.1537480507648972,0.030431297408217817
10.0,1.0,110.0,2023-01-01,2,2022-08-06→2023-10-13,1.070629782675843,1.09055673129318,0.03621066698079589
10.0,1.0,110.0,2023-01-01,3,2023-10-13→2024-10-19,1.1360507396974209,1.154605324976626,0.03188188754019872
