half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start,tier
29.999999999999996,1,1146,1146,1.1684559349540997,1.1730689453038556,460,IVL
29.999999999999996,2,2292,1146,1.1270746395267854,1.0985473511517438,274,IVL
29.999999999999996,3,3438,1146,1.1687131244863158,1.0997381887384077,349,IVL
29.999999999999996,4,4584,1146,1.1009945064264746,1.1232898578336945,283,IVL
29.999999999999996,5,5730,1146,1.0469520090901505,1.100927738235691,416,IVL
37.24118099745335,1,1146,1146,1.1696478471563458,1.1730689453038556,460,IVL
37.24118099745335,2,2292,1146,1.1065929212835213,1.0985473511517438,274,IVL
37.24118099745335,3,3438,1146,1.1551029820380214,1.0997381887384077,349,IVL
37.24118099745335,4,4584,1146,1.0980601759846378,1.1232898578336945,283,IVL
37.24118099745335,5,5730,1146,1.0485796075250386,1.100927738235691,416,IVL
46.23018540283602,1,1146,1146,1.1706756665805258,1.1730689453038556,460,IVL
46.23018540283602,2,2292,1146,1.0897979433509175,1.0985473511517438,274,IVL
46.23018540283602,3,3438,1146,1.1413774290281256,1.0997381887384077,349,IVL
46.23018540283602,4,4584,1146,1.0945444164469755,1.1232898578336945,283,IVL
46.23018540283602,5,5730,1146,1.0507610164628585,1.100927738235691,416,IVL
57.38889007109474,1,1146,1146,1.1714539716776535,1.1730689453038556,460,IVL
57.38889007109474,2,2292,1146,1.0801289454304501,1.0985473511517438,274,IVL
57.38889007109474,3,3438,1146,1.1322337573271675,1.0997381887384077,349,IVL
57.38889007109474,4,4584,1146,1.0913792162305962,1.1232898578336945,283,IVL
57.38889007109474,5,5730,1146,1.0529914765171837,1.100927738235691,416,IVL
71.24100141268643,1,1146,1146,1.1719731757038028,1.1730689453038556,460,IVL
71.24100141268643,2,2292,1146,1.0755338428324686,1.0985473511517438,274,IVL
71.24100141268643,3,3438,1146,1.1281935056311836,1.0997381887384077,349,IVL
71.24100141268643,4,4584,1146,1.089096810414248,1.1232898578336945,283,IVL
71.24100141268643,5,5730,1146,1.0548721073808351,1.100927738235691,416,IVL
88.43663426832285,1,1146,1146,1.1722779740343492,1.1730689453038556,460,IVL
88.43663426832285,2,2292,1146,1.0729761294380835,1.0985473511517438,274,IVL
88.43663426832285,3,3438,1146,1.1275446473590134,1.0997381887384077,349,IVL
88.43663426832285,4,4584,1146,1.0875557305991213,1.1232898578336945,283,IVL
88.43663426832285,5,5730,1146,1.0563431296885042,1.100927738235691,416,IVL
109.78282345307318,1,1146,1146,1.1724321646575953,1.1730689453038556,460,IVL
109.78282345307318,2,2292,1146,1.0711126643905946,1.0985473511517438,274,IVL
109.78282345307318,3,3438,1146,1.1286374467424742,1.0997381887384077,349,IVL
109.78282345307318,4,4584,1146,1.0864806594581937,1.1232898578336945,283,IVL
109.78282345307318,5,5730,1146,1.0576193734801829,1.100927738235691,416,IVL
136.2813999542456,1,1146,1146,1.1724935110358432,1.1730689453038556,460,IVL
136.2813999542456,2,2292,1146,1.0698891116791682,1.0985473511517438,274,IVL
136.2813999542456,3,3438,1146,1.1304739428294404,1.0997381887384077,349,IVL
136.2813999542456,4,4584,1146,1.0857277439695654,1.1232898578336945,283,IVL
136.2813999542456,5,5730,1146,1.0588198820176933,1.100927738235691,416,IVL
169.17600940941313,1,1146,1146,1.172504031482628,1.1730689453038556,460,IVL
169.17600940941313,2,2292,1146,1.0693870543222468,1.0985473511517438,274,IVL
169.17600940941313,3,3438,1146,1.1325246904485335,1.0997381887384077,349,IVL
169.17600940941313,4,4584,1146,1.0852459787068771,1.1232898578336945,283,IVL
169.17600940941313,5,5730,1146,1.0598706910388949,1.100927738235691,416,IVL
210.01047956142742,1,1146,1146,1.1724902716971104,1.1730689453038556,460,IVL
210.01047956142742,2,2292,1146,1.0694821415941307,1.0985473511517438,274,IVL
210.01047956142742,3,3438,1146,1.1344871000242729,1.0997381887384077,349,IVL
210.01047956142742,4,4584,1146,1.0850408401521279,1.1232898578336945,283,IVL
210.01047956142742,5,5730,1146,1.060771107433436,1.100927738235691,416,IVL
260.7012760236364,1,1146,1146,1.1724672854671487,1.1730689453038556,460,IVL
260.7012760236364,2,2292,1146,1.0699859600386827,1.0985473511517438,274,IVL
260.7012760236364,3,3438,1146,1.136232518960828,1.0997381887384077,349,IVL
260.7012760236364,4,4584,1146,1.085145424269438,1.1232898578336945,283,IVL
260.7012760236364,5,5730,1146,1.0615963934647787,1.100927738235691,416,IVL
323.62744688877655,1,1146,1146,1.1724427864767202,1.1730689453038556,460,IVL
323.62744688877655,2,2292,1146,1.0707328962796079,1.0985473511517438,274,IVL
323.62744688877655,3,3438,1146,1.1377709229011348,1.0997381887384077,349,IVL
323.62744688877655,4,4584,1146,1.0855631373482748,1.1232898578336945,283,IVL
323.62744688877655,5,5730,1146,1.0623569491698934,1.100927738235691,416,IVL
401.7422775109552,1,1146,1146,1.1724202563393658,1.1730689453038556,460,IVL
401.7422775109552,2,2292,1146,1.0715962412188962,1.0985473511517438,274,IVL
401.7422775109552,3,3438,1146,1.1391535258908094,1.0997381887384077,349,IVL
401.7422775109552,4,4584,1146,1.0862467444834494,1.1232898578336945,283,IVL
401.7422775109552,5,5730,1146,1.0630191825929665,1.100927738235691,416,IVL
498.7118957038203,1,1146,1146,1.172400934363747,1.1730689453038556,460,IVL
498.7118957038203,2,2292,1146,1.0724864626952146,1.0985473511517438,274,IVL
498.7118957038203,3,3438,1146,1.1404143310625257,1.0997381887384077,349,IVL
498.7118957038203,4,4584,1146,1.087112733210211,1.1232898578336945,283,IVL
498.7118957038203,5,5730,1146,1.0635758338322445,1.100927738235691,416,IVL
619.0873324496347,1,1146,1146,1.1723849728305227,1.1730689453038556,460,IVL
619.0873324496347,2,2292,1146,1.07334507792659,1.0985473511517438,274,IVL
619.0873324496347,3,3438,1146,1.1415649104082335,1.0997381887384077,349,IVL
619.0873324496347,4,4584,1146,1.0880689924740183,1.1232898578336945,283,IVL
619.0873324496347,5,5730,1146,1.064044807254118,1.100927738235691,416,IVL
768.5181133662479,1,1146,1146,1.172372059810657,1.1730689453038556,460,IVL
768.5181133662479,2,2292,1146,1.0741375062964968,1.0985473511517438,274,IVL
768.5181133662479,3,3438,1146,1.1426053067194846,1.0997381887384077,349,IVL
768.5181133662479,4,4584,1146,1.0890378060452943,1.1232898578336945,283,IVL
768.5181133662479,5,5730,1146,1.0644458392020175,1.100927738235691,416,IVL
954.0174053231276,1,1146,1146,1.1723617323276856,1.1730689453038556,460,IVL
954.0174053231276,2,2292,1146,1.0748464240293374,1.0985473511517438,274,IVL
954.0174053231276,3,3438,1146,1.1435331364206611,1.0997381887384077,349,IVL
954.0174053231276,4,4584,1146,1.0899643672756254,1.1232898578336945,283,IVL
954.0174053231276,5,5730,1146,1.0647928151713741,1.100927738235691,416,IVL
1184.2911622119798,1,1146,1146,1.1723535210443372,1.1730689453038556,460,IVL
1184.2911622119798,2,2292,1146,1.0754662370853962,1.0985473511517438,274,IVL
1184.2911622119798,3,3438,1146,1.144348257430123,1.0997381887384077,349,IVL
1184.2911622119798,4,4584,1146,1.0908154249260014,1.1232898578336945,283,IVL
1184.2911622119798,5,5730,1146,1.0650945649393684,1.100927738235691,416,IVL
1470.1467175206903,1,1146,1146,1.172347008460423,1.1730689453038556,460,IVL
1470.1467175206903,2,2292,1146,1.0759988047917177,1.0985473511517438,274,IVL
1470.1467175206903,3,3438,1146,1.1450542099589431,1.0997381887384077,349,IVL
1470.1467175206903,4,4584,1146,1.091574475417321,1.1232898578336945,283,IVL
1470.1467175206903,5,5730,1146,1.065356771918009,1.100927738235691,416,IVL
1824.9999999999995,1,1146,1146,1.1723418454379995,1.1730689453038556,460,IVL
1824.9999999999995,2,2292,1146,1.0764503167463666,1.0985473511517438,274,IVL
1824.9999999999995,3,3438,1146,1.14565789215811,1.0997381887384077,349,IVL
1824.9999999999995,4,4584,1146,1.092236721449273,1.1232898578336945,283,IVL
1824.9999999999995,5,5730,1146,1.0655834690750114,1.100927738235691,416,IVL
29.999999999999996,1,175,174,1.2178697204485258,1.2010531776870597,69,IJL
29.999999999999996,2,349,174,1.0815021680305414,1.186611131336418,4,IJL
29.999999999999996,3,523,174,1.1053243495784155,1.1421898708837446,12,IJL
29.999999999999996,4,697,174,1.131520685908812,1.1670771035014103,2,IJL
29.999999999999996,5,871,174,1.068589413287103,1.2270888828592579,3,IJL
37.24118099745335,1,175,174,1.2200774062323305,1.2010531776870597,69,IJL
37.24118099745335,2,349,174,1.0783065166923975,1.186611131336418,4,IJL
37.24118099745335,3,523,174,1.1065418770480548,1.1421898708837446,12,IJL
37.24118099745335,4,697,174,1.1211163693186883,1.1670771035014103,2,IJL
37.24118099745335,5,871,174,1.0628017951096724,1.2270888828592579,3,IJL
46.23018540283602,1,175,174,1.221878148533681,1.2010531776870597,69,IJL
46.23018540283602,2,349,174,1.072526463670019,1.186611131336418,4,IJL
46.23018540283602,3,523,174,1.1074062647317164,1.1421898708837446,12,IJL
46.23018540283602,4,697,174,1.1155433578657987,1.1670771035014103,2,IJL
46.23018540283602,5,871,174,1.0592868928117383,1.2270888828592579,3,IJL
57.38889007109474,1,175,174,1.223342268362268,1.2010531776870597,69,IJL
57.38889007109474,2,349,174,1.0631199422160076,1.186611131336418,4,IJL
57.38889007109474,3,523,174,1.107905595719365,1.1421898708837446,12,IJL
57.38889007109474,4,697,174,1.1125205774176596,1.1670771035014103,2,IJL
57.38889007109474,5,871,174,1.0584294751158903,1.2270888828592579,3,IJL
71.24100141268643,1,175,174,1.2245300045543566,1.2010531776870597,69,IJL
71.24100141268643,2,349,174,1.0504017067044786,1.186611131336418,4,IJL
71.24100141268643,3,523,174,1.1081453653751685,1.1421898708837446,12,IJL
71.24100141268643,4,697,174,1.1103749452468215,1.1670771035014103,2,IJL
71.24100141268643,5,871,174,1.0595027253493297,1.2270888828592579,3,IJL
88.43663426832285,1,175,174,1.2254919501482544,1.2010531776870597,69,IJL
88.43663426832285,2,349,174,1.0362665339437271,1.186611131336418,4,IJL
88.43663426832285,3,523,174,1.1083754256855978,1.1421898708837446,12,IJL
88.43663426832285,4,697,174,1.1082637684306202,1.1670771035014103,2,IJL
