tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
60.0,0.6,200.0,2023-01-01,1,2021-07-11→2022-08-06,1.1218617008957634,1.1537480507648972,0.054510558612442805
60.0,0.6,200.0,2023-01-01,2,2022-08-06→2023-10-13,1.0663873803759403,1.09055673129318,0.04383362159845172
60.0,0.6,200.0,2023-01-01,3,2023-10-13→2024-10-19,1.1575513863549556,1.154605324976626,-0.005109659312843018
60.0,0.6,200.0,2023-01-01,4,2024-10-19→2025-07-25,1.0913879748508442,1.1625760678151191,0.1187166369644096
60.0,0.6,200.0,2023-01-01,5,2025-07-25→2026-05-05,1.0281021792898524,1.1384964393796808,0.1845277139705932
