half_life_days,fold,train_size,test_size,rmse,null_rmse,n_cold_start,era
29.999999999999996,1,612,612,1.1883124632697764,1.1936651964881901,126,early (2020-2022)
29.999999999999996,2,1224,612,1.170875048874624,1.1771240015532263,213,early (2020-2022)
29.999999999999996,3,1836,612,1.161286343468067,1.1929805590951954,151,early (2020-2022)
29.999999999999996,4,2448,612,1.1524058193868278,1.1260434521851945,62,early (2020-2022)
29.999999999999996,5,3060,612,1.088920498806077,1.1033223742125002,130,early (2020-2022)
37.24118099745335,1,612,612,1.1862558423360583,1.1936651964881901,126,early (2020-2022)
37.24118099745335,2,1224,612,1.15814217711114,1.1771240015532263,213,early (2020-2022)
37.24118099745335,3,1836,612,1.1593241717959972,1.1929805590951954,151,early (2020-2022)
37.24118099745335,4,2448,612,1.1295929992257514,1.1260434521851945,62,early (2020-2022)
37.24118099745335,5,3060,612,1.0877912124263076,1.1033223742125002,130,early (2020-2022)
46.23018540283602,1,612,612,1.1863763543672443,1.1936651964881901,126,early (2020-2022)
46.23018540283602,2,1224,612,1.1517363445258855,1.1771240015532263,213,early (2020-2022)
46.23018540283602,3,1836,612,1.1569942433869773,1.1929805590951954,151,early (2020-2022)
46.23018540283602,4,2448,612,1.114006897555913,1.1260434521851945,62,early (2020-2022)
46.23018540283602,5,3060,612,1.086812463108765,1.1033223742125002,130,early (2020-2022)
57.38889007109474,1,612,612,1.1875117250463614,1.1936651964881901,126,early (2020-2022)
57.38889007109474,2,1224,612,1.1489451880900905,1.1771240015532263,213,early (2020-2022)
57.38889007109474,3,1836,612,1.1543223349914375,1.1929805590951954,151,early (2020-2022)
57.38889007109474,4,2448,612,1.104190162384012,1.1260434521851945,62,early (2020-2022)
57.38889007109474,5,3060,612,1.0858831038245964,1.1033223742125002,130,early (2020-2022)
71.24100141268643,1,612,612,1.1890165511316237,1.1936651964881901,126,early (2020-2022)
71.24100141268643,2,1224,612,1.1481505269489687,1.1771240015532263,213,early (2020-2022)
71.24100141268643,3,1836,612,1.1517248592084397,1.1929805590951954,151,early (2020-2022)
71.24100141268643,4,2448,612,1.0979852771958611,1.1260434521851945,62,early (2020-2022)
71.24100141268643,5,3060,612,1.0850973566424487,1.1033223742125002,130,early (2020-2022)
88.43663426832285,1,612,612,1.1905660051506959,1.1936651964881901,126,early (2020-2022)
88.43663426832285,2,1224,612,1.1484123951274696,1.1771240015532263,213,early (2020-2022)
88.43663426832285,3,1836,612,1.1496312107334288,1.1929805590951954,151,early (2020-2022)
88.43663426832285,4,2448,612,1.0939255329918927,1.1260434521851945,62,early (2020-2022)
88.43663426832285,5,3060,612,1.0846760255533512,1.1033223742125002,130,early (2020-2022)
109.78282345307318,1,612,612,1.1920105150368014,1.1936651964881901,126,early (2020-2022)
109.78282345307318,2,1224,612,1.1491837930616826,1.1771240015532263,213,early (2020-2022)
109.78282345307318,3,1836,612,1.1482159124286853,1.1929805590951954,151,early (2020-2022)
109.78282345307318,4,2448,612,1.0913241775600142,1.1260434521851945,62,early (2020-2022)
109.78282345307318,5,3060,612,1.084763889298771,1.1033223742125002,130,early (2020-2022)
136.2813999542456,1,612,612,1.193290950129501,1.1936651964881901,126,early (2020-2022)
136.2813999542456,2,1224,612,1.1501557993492177,1.1771240015532263,213,early (2020-2022)
136.2813999542456,3,1836,612,1.1474476085827214,1.1929805590951954,151,early (2020-2022)
136.2813999542456,4,2448,612,1.0897860797112733,1.1260434521851945,62,early (2020-2022)
136.2813999542456,5,3060,612,1.0853868457148823,1.1033223742125002,130,early (2020-2022)
169.17600940941313,1,612,612,1.1943932557343773,1.1936651964881901,126,early (2020-2022)
169.17600940941313,2,1224,612,1.151162102928382,1.1771240015532263,213,early (2020-2022)
169.17600940941313,3,1836,612,1.147201792519824,1.1929805590951954,151,early (2020-2022)
169.17600940941313,4,2448,612,1.089002977129244,1.1260434521851945,62,early (2020-2022)
169.17600940941313,5,3060,612,1.086503148259197,1.1033223742125002,130,early (2020-2022)
210.01047956142742,1,612,612,1.1953248715867997,1.1936651964881901,126,early (2020-2022)
210.01047956142742,2,1224,612,1.152118042512107,1.1771240015532263,213,early (2020-2022)
210.01047956142742,3,1836,612,1.1473293747480409,1.1929805590951954,151,early (2020-2022)
210.01047956142742,4,2448,612,1.0887543790195011,1.1260434521851945,62,early (2020-2022)
210.01047956142742,5,3060,612,1.0880042431463397,1.1033223742125002,130,early (2020-2022)
260.7012760236364,1,612,612,1.196102558792633,1.1936651964881901,126,early (2020-2022)
260.7012760236364,2,1224,612,1.152984263531912,1.1771240015532263,213,early (2020-2022)
260.7012760236364,3,1836,612,1.1476926400052827,1.1929805590951954,151,early (2020-2022)
260.7012760236364,4,2448,612,1.088877085883127,1.1260434521851945,62,early (2020-2022)
260.7012760236364,5,3060,612,1.089728880007791,1.1033223742125002,130,early (2020-2022)
323.62744688877655,1,612,612,1.1967461594789983,1.1936651964881901,126,early (2020-2022)
323.62744688877655,2,1224,612,1.1537462873787703,1.1771240015532263,213,early (2020-2022)
323.62744688877655,3,1836,612,1.1481814961030716,1.1929805590951954,151,early (2020-2022)
323.62744688877655,4,2448,612,1.0892408980092365,1.1260434521851945,62,early (2020-2022)
323.62744688877655,5,3060,612,1.0915134084558393,1.1033223742125002,130,early (2020-2022)
401.7422775109552,1,612,612,1.1972754718522403,1.1936651964881901,126,early (2020-2022)
401.7422775109552,2,1224,612,1.1544031823706948,1.1771240015532263,213,early (2020-2022)
401.7422775109552,3,1836,612,1.1487169227250247,1.1929805590951954,151,early (2020-2022)
401.7422775109552,4,2448,612,1.089742727564335,1.1260434521851945,62,early (2020-2022)
401.7422775109552,5,3060,612,1.0932316672994764,1.1033223742125002,130,early (2020-2022)
498.7118957038203,1,612,612,1.1977087787665275,1.1936651964881901,126,early (2020-2022)
498.7118957038203,2,1224,612,1.1549611635423966,1.1771240015532263,213,early (2020-2022)
498.7118957038203,3,1836,612,1.1492473896447972,1.1929805590951954,151,early (2020-2022)
498.7118957038203,4,2448,612,1.0903054370518475,1.1260434521851945,62,early (2020-2022)
498.7118957038203,5,3060,612,1.0948059146724833,1.1033223742125002,130,early (2020-2022)
619.0873324496347,1,612,612,1.1980622556807652,1.1936651964881901,126,early (2020-2022)
619.0873324496347,2,1224,612,1.1554298828002636,1.1771240015532263,213,early (2020-2022)
619.0873324496347,3,1836,612,1.1497426398445814,1.1929805590951954,151,early (2020-2022)
619.0873324496347,4,2448,612,1.090875344721797,1.1260434521851945,62,early (2020-2022)
