half_life_days,fold,train_size,test_size,rmse,null_rmse,n_iter,converged
29.999999999999996,1,1520,1516,1.1354774615492704,1.1537480507648972,30,True
29.999999999999996,2,3036,1516,1.0749841022705888,1.09055673129318,42,True
29.999999999999996,3,4552,1516,1.1559637646119048,1.154605324976626,25,True
29.999999999999996,4,6068,1516,1.0887332261273268,1.1625760678151191,34,True
29.999999999999996,5,7584,1516,1.029821158904953,1.1384964393796808,42,True
37.24118099745335,1,1520,1516,1.1348240557903264,1.1537480507648972,32,True
37.24118099745335,2,3036,1516,1.0735628629645806,1.09055673129318,45,True
37.24118099745335,3,4552,1516,1.158042186831533,1.154605324976626,31,True
37.24118099745335,4,6068,1516,1.0873777857821145,1.1625760678151191,34,True
37.24118099745335,5,7584,1516,1.0294190330766468,1.1384964393796808,49,True
46.23018540283602,1,1520,1516,1.133211319129909,1.1537480507648972,35,True
46.23018540283602,2,3036,1516,1.0722553937446853,1.09055673129318,43,True
46.23018540283602,3,4552,1516,1.1604172437120746,1.154605324976626,43,True
46.23018540283602,4,6068,1516,1.0869490619202211,1.1625760678151191,45,True
46.23018540283602,5,7584,1516,1.0290591699631784,1.1384964393796808,57,True
57.38889007109474,1,1520,1516,1.130826199244359,1.1537480507648972,35,True
57.38889007109474,2,3036,1516,1.0709931479625001,1.09055673129318,52,True
57.38889007109474,3,4552,1516,1.1622642955360953,1.154605324976626,41,True
57.38889007109474,4,6068,1516,1.0871847184544745,1.1625760678151191,47,True
57.38889007109474,5,7584,1516,1.028669399882196,1.1384964393796808,53,True
71.24100141268643,1,1520,1516,1.1282548762526943,1.1537480507648972,48,True
71.24100141268643,2,3036,1516,1.06977073560041,1.09055673129318,56,True
71.24100141268643,3,4552,1516,1.1631071996586044,1.154605324976626,52,True
71.24100141268643,4,6068,1516,1.087792247845413,1.1625760678151191,50,True
71.24100141268643,5,7584,1516,1.0282870274810276,1.1384964393796808,57,True
88.43663426832285,1,1520,1516,1.1260602160964654,1.1537480507648972,43,True
88.43663426832285,2,3036,1516,1.0686373396397337,1.09055673129318,54,True
88.43663426832285,3,4552,1516,1.162933280745846,1.154605324976626,59,True
88.43663426832285,4,6068,1516,1.0887742476537587,1.1625760678151191,52,True
88.43663426832285,5,7584,1516,1.027964999567771,1.1384964393796808,65,True
109.78282345307318,1,1520,1516,1.1245024377613508,1.1537480507648972,50,True
109.78282345307318,2,3036,1516,1.0676871830702022,1.09055673129318,60,True
109.78282345307318,3,4552,1516,1.1620862610456837,1.154605324976626,67,True
109.78282345307318,4,6068,1516,1.0903705515831967,1.1625760678151191,63,True
109.78282345307318,5,7584,1516,1.027774583872104,1.1384964393796808,71,True
136.2813999542456,1,1520,1516,1.1235589501335548,1.1537480507648972,58,True
136.2813999542456,2,3036,1516,1.066981847513172,1.09055673129318,69,True
136.2813999542456,3,4552,1516,1.1610009788134295,1.154605324976626,59,True
136.2813999542456,4,6068,1516,1.0927862940748152,1.1625760678151191,67,True
136.2813999542456,5,7584,1516,1.0277311233938267,1.1384964393796808,80,True
169.17600940941313,1,1520,1516,1.1230915544504736,1.1537480507648972,58,True
169.17600940941313,2,3036,1516,1.0665214486191308,1.09055673129318,71,True
169.17600940941313,3,4552,1516,1.160108021504366,1.154605324976626,66,True
169.17600940941313,4,6068,1516,1.0958774585728692,1.1625760678151191,67,True
169.17600940941313,5,7584,1516,1.0278526656748075,1.1384964393796808,72,True
210.01047956142742,1,1520,1516,1.122927855782638,1.1537480507648972,60,True
210.01047956142742,2,3036,1516,1.0662957012120953,1.09055673129318,73,True
210.01047956142742,3,4552,1516,1.159564134025278,1.154605324976626,79,True
210.01047956142742,4,6068,1516,1.0992270013589955,1.1625760678151191,84,True
210.01047956142742,5,7584,1516,1.02818030670506,1.1384964393796808,83,True
260.7012760236364,1,1520,1516,1.122949391504261,1.1537480507648972,68,True
260.7012760236364,2,3036,1516,1.0662502884703633,1.09055673129318,76,True
260.7012760236364,3,4552,1516,1.1592435746231369,1.154605324976626,82,True
260.7012760236364,4,6068,1516,1.1024699465434187,1.1625760678151191,86,True
260.7012760236364,5,7584,1516,1.0286940816148906,1.1384964393796808,92,True
323.62744688877655,1,1520,1516,1.123061017057354,1.1537480507648972,71,True
323.62744688877655,2,3036,1516,1.0663493936073543,1.09055673129318,83,True
323.62744688877655,3,4552,1516,1.1589768240791563,1.154605324976626,92,True
323.62744688877655,4,6068,1516,1.105363097716507,1.1625760678151191,91,True
323.62744688877655,5,7584,1516,1.0293747336251986,1.1384964393796808,94,True
401.7422775109552,1,1520,1516,1.1232205282627825,1.1537480507648972,72,True
401.7422775109552,2,3036,1516,1.0665438398247107,1.09055673129318,85,True
401.7422775109552,3,4552,1516,1.1587143179217683,1.154605324976626,89,True
401.7422775109552,4,6068,1516,1.107762728206762,1.1625760678151191,104,True
401.7422775109552,5,7584,1516,1.030141921438355,1.1384964393796808,108,True
498.7118957038203,1,1520,1516,1.1233992559254553,1.1537480507648972,75,True
498.7118957038203,2,3036,1516,1.0667856545293968,1.09055673129318,93,True
498.7118957038203,3,4552,1516,1.158431763215296,1.154605324976626,106,True
498.7118957038203,4,6068,1516,1.1097034617499748,1.1625760678151191,103,True
498.7118957038203,5,7584,1516,1.0309402926935047,1.1384964393796808,125,True
619.0873324496347,1,1520,1516,1.1235626038115942,1.1537480507648972,84,True
619.0873324496347,2,3036,1516,1.0670621453730744,1.09055673129318,94,True
619.0873324496347,3,4552,1516,1.158137599855622,1.154605324976626,106,True
619.0873324496347,4,6068,1516,1.1111910611296953,1.1625760678151191,108,True
619.0873324496347,5,7584,1516,1.0316985068016193,1.1384964393796808,133,True
768.5181133662479,1,1520,1516,1.1237183212928634,1.1537480507648972,81,True
768.5181133662479,2,3036,1516,1.0673262696603192,1.09055673129318,98,True
768.5181133662479,3,4552,1516,1.1578392567418097,1.154605324976626,125,True
768.5181133662479,4,6068,1516,1.1123507497520657,1.1625760678151191,123,True
768.5181133662479,5,7584,1516,1.032385190022061,1.1384964393796808,136,True
954.0174053231276,1,1520,1516,1.1238587284160035,1.1537480507648972,72,True
954.0174053231276,2,3036,1516,1.067579952390093,1.09055673129318,104,True
954.0174053231276,3,4552,1516,1.1575863752466446,1.154605324976626,120,True
954.0174053231276,4,6068,1516,1.1132491724910425,1.1625760678151191,125,True
954.0174053231276,5,7584,1516,1.0329800084787697,1.1384964393796808,148,True
1184.2911622119798,1,1520,1516,1.1239734939223758,1.1537480507648972,85,True
1184.2911622119798,2,3036,1516,1.0678078084769895,1.09055673129318,111,True
1184.2911622119798,3,4552,1516,1.1573618686513316,1.154605324976626,138,True
1184.2911622119798,4,6068,1516,1.1139419437956373,1.1625760678151191,127,True
1184.2911622119798,5,7584,1516,1.0334933795933703,1.1384964393796808,132,True
1470.1467175206903,1,1520,1516,1.124081790274387,1.1537480507648972,71,True
1470.1467175206903,2,3036,1516,1.0680118690338911,1.09055673129318,118,True
1470.1467175206903,3,4552,1516,1.1571432369225978,1.154605324976626,138,True
1470.1467175206903,4,6068,1516,1.114478229792389,1.1625760678151191,149,True
1470.1467175206903,5,7584,1516,1.0339231055946232,1.1384964393796808,153,True
1824.9999999999995,1,1520,1516,1.124165139813726,1.1537480507648972,85,True
1824.9999999999995,2,3036,1516,1.0681770611392094,1.09055673129318,111,True
1824.9999999999995,3,4552,1516,1.1569621584782224,1.154605324976626,128,True
1824.9999999999995,4,6068,1516,1.1148854110141788,1.1625760678151191,145,True
1824.9999999999995,5,7584,1516,1.0342816756901014,1.1384964393796808,168,True
inf,1,1520,1516,1.1245606857028645,1.1537480507648972,82,True
inf,2,3036,1516,1.069014864050277,1.09055673129318,111,True
