tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
30.0,0.2,365.0,2023-01-01,1,2021-07-11→2022-08-06,1.1235027947419902,1.1537480507648972,0.05174235323771925
30.0,0.2,365.0,2023-01-01,2,2022-08-06→2023-10-13,1.0655420882236513,1.09055673129318,0.04534886759154444
30.0,0.2,365.0,2023-01-01,3,2023-10-13→2024-10-19,1.1413877860344588,1.154605324976626,0.02276428777204198
30.0,0.2,365.0,2023-01-01,4,2024-10-19→2025-07-25,1.1080264562662734,1.1625760678151191,0.09164104259464634
30.0,0.2,365.0,2023-01-01,5,2025-07-25→2026-05-05,1.0402705128874263,1.1384964393796808,0.16511006930568306
