tau_post,alpha,tau_pre,shift_date,fold,test_period,rmse,null_rmse,r2
88.0,0.2,110.0,2023-01-01,1,2021,1.166095771016142,1.1855754399729566,0.03259115762030562
88.0,0.2,110.0,2023-01-01,2,2022,1.0889762285881477,1.1204102592069434,0.055324514538761194
88.0,0.2,110.0,2023-01-01,3,2023,1.105870707305199,1.092687291607887,-0.024275830093728246
88.0,0.2,110.0,2023-01-01,4,2024,1.1224201128157545,1.1606641160121933,0.06481449842104381
88.0,0.2,110.0,2023-01-01,5,2025,1.063958456770498,1.1455956444273754,0.13744532337234683
88.0,0.4,110.0,2023-01-01,1,2021,1.1651379750016635,1.1855754399729566,0.0341797060466128
88.0,0.4,110.0,2023-01-01,2,2022,1.0873334937964159,1.1204102592069434,0.05817247531556846
88.0,0.4,110.0,2023-01-01,3,2023,1.1028620219073795,1.092687291607887,-0.018710022862191034
88.0,0.4,110.0,2023-01-01,4,2024,1.1225839141259264,1.1606641160121933,0.06454152436039606
88.0,0.4,110.0,2023-01-01,5,2025,1.0639253259692578,1.1455956444273754,0.13749904103854715
88.0,0.6,110.0,2023-01-01,1,2021,1.1650214848506264,1.1855754399729566,0.03437282124849472
88.0,0.6,110.0,2023-01-01,2,2022,1.087438596194522,1.1204102592069434,0.05799039113228632
88.0,0.6,110.0,2023-01-01,3,2023,1.1013414064071423,1.092687291607887,-0.015902784419898897
88.0,0.6,110.0,2023-01-01,4,2024,1.1227358012053685,1.1606641160121933,0.06428836971227403
88.0,0.6,110.0,2023-01-01,5,2025,1.0638930306995042,1.1455956444273754,0.1375514023794987
88.0,0.8,110.0,2023-01-01,1,2021,1.1653370497169895,1.1855754399729566,0.033849638999107645
88.0,0.8,110.0,2023-01-01,2,2022,1.0880294183048693,1.1204102592069434,0.05696649644828611
88.0,0.8,110.0,2023-01-01,3,2023,1.1004786824477835,1.092687291607887,-0.014311814733235506
88.0,0.8,110.0,2023-01-01,4,2024,1.1228744512781963,1.1606641160121933,0.06405724766856025
88.0,0.8,110.0,2023-01-01,5,2025,1.06386155138652,1.1455956444273754,0.1376024392542533
88.0,1.0,110.0,2023-01-01,1,2021,1.1659024851489093,1.1855754399729566,0.03291183618680438
88.0,1.0,110.0,2023-01-01,2,2022,1.0888132608261138,1.1204102592069434,0.055607239039197065
88.0,1.0,110.0,2023-01-01,3,2023,1.1000053415605286,1.092687291607887,-0.013439445267557026
88.0,1.0,110.0,2023-01-01,4,2024,1.1229999736772631,1.1606641160121933,0.06384798412003645
88.0,1.0,110.0,2023-01-01,5,2025,1.0638308680436939,1.1455956444273754,0.13765218418278014
110.0,0.2,110.0,2023-01-01,1,2021,1.166095771016142,1.1855754399729566,0.03259115762030562
110.0,0.2,110.0,2023-01-01,2,2022,1.0889762285881477,1.1204102592069434,0.055324514538761194
110.0,0.2,110.0,2023-01-01,3,2023,1.1058381286267627,1.092687291607887,-0.02421548115573935
110.0,0.2,110.0,2023-01-01,4,2024,1.1226975772373753,1.1606641160121933,0.06435208194541842
110.0,0.2,110.0,2023-01-01,5,2025,1.0631740969756818,1.1455956444273754,0.13871662080750935
110.0,0.4,110.0,2023-01-01,1,2021,1.1651379750016635,1.1855754399729566,0.0341797060466128
110.0,0.4,110.0,2023-01-01,2,2022,1.0873334937964159,1.1204102592069434,0.05817247531556846
110.0,0.4,110.0,2023-01-01,3,2023,1.1028261703500597,1.092687291607887,-0.0186437920075202
110.0,0.4,110.0,2023-01-01,4,2024,1.1228213331234393,1.1606641160121933,0.0641457960828472
110.0,0.4,110.0,2023-01-01,5,2025,1.063152725020243,1.1455956444273754,0.1387512475446362
110.0,0.6,110.0,2023-01-01,1,2021,1.1650214848506264,1.1855754399729566,0.03437282124849472
110.0,0.6,110.0,2023-01-01,2,2022,1.087438596194522,1.1204102592069434,0.05799039113228632
110.0,0.6,110.0,2023-01-01,3,2023,1.1013175479117412,1.092687291607887,-0.01585876964076771
110.0,0.6,110.0,2023-01-01,4,2024,1.1229426614854296,1.1606641160121933,0.06394353453159685
110.0,0.6,110.0,2023-01-01,5,2025,1.063131766735563,1.1455956444273754,0.13878520337843814
110.0,0.8,110.0,2023-01-01,1,2021,1.1653370497169895,1.1855754399729566,0.033849638999107645
110.0,0.8,110.0,2023-01-01,2,2022,1.0880294183048693,1.1204102592069434,0.05696649644828611
110.0,0.8,110.0,2023-01-01,3,2023,1.1004668976329866,1.092687291607887,-0.01429009070882703
110.0,0.8,110.0,2023-01-01,4,2024,1.1230586730494687,1.1606641160121933,0.06375011595784319
110.0,0.8,110.0,2023-01-01,5,2025,1.0631112160074911,1.1455956444273754,0.1388184982541828
110.0,1.0,110.0,2023-01-01,1,2021,1.1659024851489093,1.1855754399729566,0.03291183618680438
110.0,1.0,110.0,2023-01-01,2,2022,1.0888132608261138,1.1204102592069434,0.055607239039197065
110.0,1.0,110.0,2023-01-01,3,2023,1.1000032746364343,1.092687291607887,-0.013435636739797419
110.0,1.0,110.0,2023-01-01,4,2024,1.1231680430967206,1.1606641160121933,0.06356775205725806
110.0,1.0,110.0,2023-01-01,5,2025,1.0630910662805264,1.1455956444273754,0.13885114283062883
169.0,0.2,110.0,2023-01-01,1,2021,1.166095771016142,1.1855754399729566,0.03259115762030562
169.0,0.2,110.0,2023-01-01,2,2022,1.0889762285881477,1.1204102592069434,0.055324514538761194
