role,half_life_days,fold,train_size,test_size,rmse
survivor,136.2813999542456,4,6068,1516,1.1191394050182613
survivor,136.2813999542456,5,7584,1516,1.0745023277615382
survivor,169.17600940941313,1,1520,1516,1.154316560720103
survivor,169.17600940941313,2,3036,1516,1.084088518222608
survivor,169.17600940941313,3,4552,1516,1.1762085069022912
survivor,169.17600940941313,4,6068,1516,1.1214257369003022
survivor,169.17600940941313,5,7584,1516,1.0745491293556402
survivor,210.01047956142742,1,1520,1516,1.155491439357984
survivor,210.01047956142742,2,3036,1516,1.084176861733704
survivor,210.01047956142742,3,4552,1516,1.1769600452569107
survivor,210.01047956142742,4,6068,1516,1.1236075628151119
survivor,210.01047956142742,5,7584,1516,1.0748935108155786
survivor,260.7012760236364,1,1520,1516,1.156581163870884
survivor,260.7012760236364,2,3036,1516,1.08451734478877
survivor,260.7012760236364,3,4552,1516,1.1773842169029012
survivor,260.7012760236364,4,6068,1516,1.125440109787955
survivor,260.7012760236364,5,7584,1516,1.0756386454327147
survivor,323.62744688877655,1,1520,1516,1.157558243953712
survivor,323.62744688877655,2,3036,1516,1.0850352210730523
survivor,323.62744688877655,3,4552,1516,1.1775396545577925
survivor,323.62744688877655,4,6068,1516,1.1268666424911813
survivor,323.62744688877655,5,7584,1516,1.0766876880467147
survivor,401.7422775109552,1,1520,1516,1.1584132423404063
survivor,401.7422775109552,2,3036,1516,1.0856458764947747
survivor,401.7422775109552,3,4552,1516,1.1775122134989553
survivor,401.7422775109552,4,6068,1516,1.127935060111993
survivor,401.7422775109552,5,7584,1516,1.0778327872698317
survivor,498.7118957038203,1,1520,1516,1.1591479944764156
survivor,498.7118957038203,2,3036,1516,1.0862812204902477
survivor,498.7118957038203,3,4552,1516,1.177381909808825
survivor,498.7118957038203,4,6068,1516,1.128742101935527
survivor,498.7118957038203,5,7584,1516,1.078914726508017
survivor,619.0873324496347,1,1520,1516,1.1597707922612062
survivor,619.0873324496347,2,3036,1516,1.0868955048747118
survivor,619.0873324496347,3,4552,1516,1.1772089903351117
survivor,619.0873324496347,4,6068,1516,1.129381001197725
survivor,619.0873324496347,5,7584,1516,1.0798637247163585
survivor,768.5181133662479,1,1520,1516,1.1602931283329645
survivor,768.5181133662479,2,3036,1516,1.08746200991305
survivor,768.5181133662479,3,4552,1516,1.177031801751487
survivor,768.5181133662479,4,6068,1516,1.129913224864741
survivor,768.5181133662479,5,7584,1516,1.0806677858626934
survivor,954.0174053231276,1,1520,1516,1.160727603113097
survivor,954.0174053231276,2,3036,1516,1.087967757248198
survivor,954.0174053231276,3,4552,1516,1.1768704892543
survivor,954.0174053231276,4,6068,1516,1.1303706830686335
survivor,954.0174053231276,5,7584,1516,1.0813391002208996
survivor,1184.2911622119798,1,1520,1516,1.1610866570699643
survivor,1184.2911622119798,2,3036,1516,1.0884088394112779
survivor,1184.2911622119798,3,4552,1516,1.1767328704270896
survivor,1184.2911622119798,4,6068,1516,1.1307680260408597
survivor,1184.2911622119798,5,7584,1516,1.0818961572772956
survivor,1470.1467175206903,1,1520,1516,1.1613818641250375
survivor,1470.1467175206903,2,3036,1516,1.0887869086442896
survivor,1470.1467175206903,3,4552,1516,1.1766197970620924
survivor,1470.1467175206903,4,6068,1516,1.131112355032727
survivor,1470.1467175206903,5,7584,1516,1.0823569372313164
survivor,1824.9999999999995,1,1520,1516,1.1616235911554111
survivor,1824.9999999999995,2,3036,1516,1.0891067249224988
survivor,1824.9999999999995,3,4552,1516,1.176528878686878
survivor,1824.9999999999995,4,6068,1516,1.1314083556393704
survivor,1824.9999999999995,5,7584,1516,1.0827371180926517
