fold,date,tier,p_home,actual_home,predicted_home,correct,brier,format
1,2021-10-22,IVL,0.1995147064928945,0.0,0,1,0.039806118106945836,3
1,2021-10-23,IVL,0.44749237903448724,1.0,0,0,0.3052646712249707,3
1,2021-10-23,IVL,0.5108346269961302,1.0,1,1,0.23928276214601502,3
1,2021-10-23,IVL,0.8362534691117889,1.0,1,1,0.026812926377923877,3
1,2021-10-24,IVL,0.5585209539313352,1.0,1,1,0.19490374811769828,3
1,2021-10-24,IVL,0.5164749670159394,0.0,1,0,0.2667463915541157,3
1,2021-10-24,IVL,0.2433030802938257,1.0,0,0,0.5725902282928125,3
1,2021-10-29,IVL,0.1662644819462608,0.0,0,1,0.02764387795685849,3
1,2021-10-29,IVL,0.5720219764175265,1.0,1,1,0.18316518866956025,3
1,2021-10-29,IVL,0.3430367557119144,0.0,0,1,0.11767421576935563,3
1,2021-10-30,IVL,0.5114946903332938,1.0,1,1,0.23863743757256456,3
1,2021-10-30,IVL,0.6380991644048943,0.0,1,0,0.4071705436142244,3
1,2021-10-30,IVL,0.6998919122474416,1.0,1,1,0.09006486433449727,3
1,2021-10-31,IVL,0.6549169368959026,1.0,1,1,0.11908232044130648,3
1,2021-10-31,IVL,0.5564150585483951,1.0,1,1,0.19676760028262372,3
1,2021-11-05,IVL,0.3079641950245212,0.0,0,1,0.09484194541710134,3
1,2021-11-05,IVL,0.310542372319361,0.0,0,1,0.09643656500573662,3
1,2021-11-05,IVL,0.6917395476849386,1.0,1,1,0.09502450646148623,3
1,2021-11-06,IVL,0.5095106287483329,0.0,1,0,0.2596010808075215,3
1,2021-11-06,IVL,0.5170937142322711,1.0,1,1,0.23319848083398342,3
1,2021-11-06,IVL,0.5338069071756171,1.0,1,1,0.21733599979716373,3
1,2021-11-07,IVL,0.6505116488962073,0.0,1,0,0.42316540534966246,3
1,2021-11-07,IVL,0.7618468205920291,1.0,1,1,0.05671693686212516,3
1,2021-11-07,IVL,0.6669289967846266,1.0,1,1,0.11093629318289529,3
1,2021-11-12,IVL,0.639893955670406,1.0,1,1,0.12967636316270753,3
1,2021-11-12,IVL,0.21171998032679934,0.0,0,1,0.0448253500695803,3
1,2021-11-12,IVL,0.46461257127550126,1.0,0,0,0.2866396988362302,3
1,2021-11-13,IVL,0.29277686516792656,1.0,0,0,0.5001645624417052,3
1,2021-11-13,IVL,0.6826068006450499,1.0,1,1,0.10073844299677112,3
1,2021-11-14,IVL,0.21008684213977916,0.0,0,1,0.04413648124026449,3
1,2021-11-14,IVL,0.7034760765042625,1.0,1,1,0.087926437205306,3
1,2021-11-14,IVL,0.45920453822280216,1.0,0,0,0.29245973147881266,3
1,2021-11-19,IVL,0.4759299890083805,1.0,0,0,0.2746493764207561,3
1,2021-11-19,IVL,0.8483450641594283,1.0,1,1,0.022999219564807907,3
1,2021-11-19,IVL,0.6569632442880857,0.0,1,0,0.431600704345527,3
1,2021-11-20,IVL,0.3854124177229864,1.0,0,0,0.37771789628910496,3
1,2021-11-20,IVL,0.38809067153181076,0.0,0,1,0.15061436933001182,3
1,2021-11-20,IVL,0.24693385669589185,0.0,0,1,0.06097632958270725,3
1,2021-11-21,IVL,0.44053900992477035,1.0,0,0,0.3129965994159562,3
1,2021-11-21,IVL,0.34421664638849137,0.0,0,1,0.1184850996509397,3
1,2021-11-21,IVL,0.5002713464231087,1.0,1,1,0.24972872720577266,3
1,2021-11-26,IVL,0.2973283542946952,1.0,0,0,0.49374744167820145,3
1,2021-11-26,IVL,0.6673108998743417,0.0,1,0,0.44530383709110366,3
1,2021-11-26,IVL,0.6731363313316463,1.0,1,1,0.10683985789533532,3
1,2021-11-27,IVL,0.4829062857677288,0.0,0,1,0.23319848083398337,3
1,2021-11-27,IVL,0.40253022153311224,0.0,0,1,0.16203057924749642,3
1,2021-11-27,IVL,0.4589269441370426,0.0,0,1,0.21061394005496423,3
1,2021-11-28,IVL,0.2901320128978706,0.0,0,1,0.08417658490817015,3
1,2021-11-28,IVL,0.34367632734642184,0.0,0,1,0.1181134179783249,3
1,2021-11-28,IVL,0.33249928979955323,0.0,0,1,0.11055577771720729,3
1,2021-12-03,IVL,0.32033269129147646,0.0,0,1,0.10261303311004036,3
1,2021-12-03,IVL,0.7721461178798401,1.0,1,1,0.05191739159722772,3
1,2021-12-03,IVL,0.5353874287244987,0.0,1,0,0.2866396988362302,3
1,2021-12-04,IVL,0.7246214994327094,0.0,1,0,0.5250763174401081,3
1,2021-12-04,IVL,0.6530150076546497,0.0,1,0,0.4264286002222022,3
