fold,date,tier,p_home,actual_home,predicted_home,correct,brier,format
1,2021-07-24,IVL,0.6059868141345675,1.0,1,1,0.1552463906358279,3
1,2021-07-24,IVL,0.5831756244605291,1.0,1,1,0.1737425600438699,3
1,2021-07-25,IVL,0.44985211146548326,1.0,0,0,0.3026626992589871,3
1,2021-07-25,IVL,0.6306999912495841,1.0,1,1,0.13638249646305728,3
1,2021-07-25,IVL,0.8636451193538058,1.0,1,1,0.018592653476037856,3
1,2021-07-30,IVL,0.2367143097289029,0.0,0,1,0.05603366443043097,3
1,2021-07-30,IVL,0.8137331875487137,1.0,1,1,0.03469532542076266,3
1,2021-07-30,IVL,0.7015993038659394,0.0,1,0,0.49224158318517075,3
1,2021-07-31,IVL,0.3933309212331213,1.0,0,0,0.36804737113185326,3
1,2021-07-31,IVL,0.5247115400301348,0.0,1,0,0.27532220024079573,3
1,2021-07-31,IVL,0.28392475338440903,1.0,0,0,0.5127637588155795,3
1,2021-08-01,IVL,0.4397232269077161,1.0,0,0,0.31391006246670267,3
1,2021-08-01,IVL,0.8228124881915635,1.0,1,1,0.031395414340864826,3
1,2021-08-01,IVL,0.21193937449912043,0.0,0,1,0.04491829846307842,3
1,2021-08-06,IVL,0.5857547788788291,1.0,1,1,0.17159910322172778,3
1,2021-08-06,IVL,0.40321626762863433,0.0,0,1,0.16258335848036645,3
1,2021-08-06,IVL,0.7728761226882341,1.0,1,1,0.05158525564513007,3
1,2021-08-07,IVL,0.5034126567163699,1.0,1,1,0.24659898950949385,3
1,2021-08-07,IVL,0.24373898749453166,1.0,0,0,0.5719307190357961,3
1,2021-08-07,IVC,0.5140705602489269,1.0,1,1,0.23612742041679174,3
1,2021-08-07,IVC,0.5247540764679798,1.0,1,1,0.2258586878338028,3
1,2021-08-07,IVC,0.5154608181258618,1.0,1,1,0.23477821877125923,3
1,2021-08-07,IVC,0.542259168550473,1.0,1,1,0.20952666877610432,3
1,2021-08-08,IVC,0.49500198666546014,1.0,0,0,0.2550229934718321,3
1,2021-08-08,IVC,0.4793141703337993,1.0,0,0,0.2711137332151798,3
1,2021-08-08,IVC,0.5100758726131186,0.0,1,0,0.26017739582203436,3
1,2021-08-08,IVL,0.34723582069191644,0.0,0,1,0.12057271517158874,3
1,2021-08-08,IVL,0.5717092365029104,0.0,1,0,0.3268514511027407,3
1,2021-08-08,IVL,0.26561236794028287,0.0,0,1,0.07054993000284421,3
1,2021-08-13,IVL,0.7730839131060923,1.0,1,1,0.05149091049124349,3
1,2021-08-13,IVL,0.3982354301277516,0.0,0,1,0.15859145780903533,3
1,2021-08-13,IVL,0.6361243635232471,1.0,1,1,0.13240547882136203,3
1,2021-08-14,IVC,0.5,0.0,0,1,0.25,3
1,2021-08-14,IVC,0.5,1.0,0,0,0.25,3
1,2021-08-14,IVL,0.3563915560246196,0.0,0,1,0.12701494120564955,3
1,2021-08-14,IVL,0.8457584849667255,1.0,1,1,0.02379044495975986,3
1,2021-08-14,IVL,0.5014618673921277,1.0,1,1,0.24854026966414444,3
1,2021-08-15,IVL,0.22761396463729955,0.0,0,1,0.05180811689790985,3
1,2021-08-15,IVL,0.4115928295515061,0.0,0,1,0.16940865733821517,3
1,2021-08-15,IVL,0.3975222786862969,0.0,0,1,0.1580239620519459,3
1,2021-08-15,IVC,0.500546273977207,0.0,1,0,0.25054657239246514,3
1,2021-08-15,IVC,0.5,1.0,0,0,0.25,3
1,2021-08-15,IVC,0.5044519377508545,1.0,1,1,0.24556788199888296,3
1,2021-08-20,IVC,0.4748697309200196,0.0,0,1,0.22550126134405182,3
1,2021-08-20,IVC,0.484117701773205,0.0,0,1,0.23436994917016987,3
1,2021-08-21,IVC,0.5506217369789577,1.0,1,1,0.20194082327580912,3
1,2021-08-21,IVC,0.5189565752935201,1.0,1,1,0.23140277645333876,3
1,2021-08-22,IVC,0.484539181874138,1.0,0,0,0.26569985502298293,3
1,2021-08-22,IVC,0.5150934637338083,1.0,1,1,0.23513434891367552,3
1,2021-08-27,IVC,0.451893154084096,1.0,0,0,0.3004211145398805,3
1,2021-08-27,IVL,0.377863218294086,0.0,0,1,0.14278061173956408,3
1,2021-08-27,IVL,0.605038881056045,1.0,1,1,0.155994285477461,3
1,2021-08-27,IVL,0.6833156193150819,1.0,1,1,0.10028899696979013,5
1,2021-08-27,IVC,0.4192751076316483,0.0,0,1,0.1757916158795303,3
1,2021-08-28,IVC,0.5044519377508545,1.0,1,1,0.24556788199888296,3
1,2021-08-28,IVC,0.5220320390575175,0.0,1,0,0.2725174498025495,3
1,2021-08-28,IVL,0.4960335099320247,1.0,0,0,0.2539822231114346,5
1,2021-08-28,IVL,0.43650326768180214,1.0,0,0,0.3175285673332867,3
1,2021-08-28,IVL,0.5104392012090812,1.0,1,1,0.23966977571280254,5
1,2021-08-29,IVL,0.36966936999413946,1.0,0,0,0.3973167031235851,3
1,2021-08-29,IVL,0.366841630094076,1.0,0,0,0.4008895213819269,5
1,2021-08-29,IVC,0.4899241273868814,0.0,0,1,0.2400256505957972,3
1,2021-08-29,IVC,0.5200170000180065,1.0,1,1,0.23038368027171433,3
1,2021-09-03,IVC,0.5,1.0,0,0,0.25,3
1,2021-09-03,IVC,0.5218824618913271,1.0,1,1,0.22859638024709825,3
1,2021-09-03,IVC,0.49093562583721606,0.0,0,1,0.24101778871617902,3
1,2021-09-03,IVC,0.5287460140612328,1.0,1,1,0.2220803192631758,3
1,2021-09-04,IVC,0.4816991213922543,1.0,0,0,0.2686358007655611,3
1,2021-09-04,IVC,0.48819822257007145,0.0,0,1,0.23833750452057703,3
1,2021-09-05,IVC,0.5044519377508545,1.0,1,1,0.24556788199888296,3
1,2021-09-05,IVC,0.5387969237110422,1.0,1,1,0.21270827757839827,3
1,2021-09-05,IVC,0.4968499216976434,0.0,0,1,0.2468598446909544,3
1,2021-09-11,IVC,0.5242984663389025,1.0,1,1,0.22629194912752024,3
1,2021-09-11,IVT,0.44814744966398273,1.0,0,0,0.30454123731236643,3
1,2021-09-11,IVT,0.5,1.0,0,0,0.25,3
1,2021-09-11,IVT,0.3459997013262529,0.0,0,1,0.11971579331785621,3
1,2021-09-11,IVT,0.41396036596112573,0.0,0,1,0.17136318458666913,3
1,2021-09-12,IVT,0.5,1.0,0,0,0.25,3
1,2021-09-12,IVT,0.5182090448181003,0.0,1,0,0.2685406141312878,3
1,2021-09-12,IVC,0.4748022934700111,0.0,0,1,0.22543721788438256,3
1,2021-09-12,IVC,0.501858993754143,0.0,1,0,0.25186244961192095,3
1,2021-09-12,IVT,0.45241094700090795,0.0,0,1,0.20467566496625833,3
1,2021-09-24,IVS,0.2643999969462195,0.0,0,1,0.06990735838516089,3
1,2021-09-24,IVS,0.2198586408173342,0.0,0,1,0.04833782194204557,3
1,2021-09-25,IVS,0.6048103457915992,0.0,1,0,0.3657955543765538,3
1,2021-09-25,IVS,0.6056856784235792,1.0,1,1,0.15548378420027298,3
1,2021-09-25,IVS,0.3628482742519208,0.0,0,1,0.1316588701275971,3
1,2021-09-26,IVS,0.490093800090962,1.0,0,0,0.2600043327056758,3
1,2021-09-26,IVS,0.45827394929074716,0.0,0,1,0.2100150125985383,3
1,2021-09-26,IVS,0.6951479971809474,1.0,1,1,0.09293474362278763,3
1,2021-10-01,IVS,0.7127929106706101,1.0,1,1,0.08248791216106013,3
1,2021-10-01,IVS,0.6292842945994245,1.0,1,1,0.1374301342306463,3
1,2021-10-02,IVS,0.4480293086875728,1.0,0,0,0.30467164406791875,3
1,2021-10-02,IVS,0.6040664240293504,0.0,1,0,0.36489624463960696,3
1,2021-10-03,IVS,0.6301532972365755,1.0,1,1,0.13678658354497683,5
1,2021-10-03,IVS,0.44837862321223143,1.0,0,0,0.3042861433292333,3
1,2021-10-15,IVL,0.31391634875706437,1.0,0,0,0.47071077650283805,3
1,2021-10-15,IVL,0.6236997119611143,0.0,1,0,0.38900133070037696,3
1,2021-10-15,IVL,0.6005796580355702,0.0,1,0,0.36069592564612246,3
1,2021-10-16,IVL,0.31911282348125136,0.0,0,1,0.1018329941101763,3
1,2021-10-16,IVL,0.4082452564142086,1.0,0,0,0.35017367655628573,3
1,2021-10-17,IVL,0.3939919590903555,0.0,0,1,0.15522966382785636,3
1,2021-10-17,IVL,0.5667284881401606,1.0,1,1,0.18772420298931092,3
1,2021-10-17,IVL,0.5098552180338831,0.0,1,0,0.2599523433563785,3
1,2021-10-22,IVL,0.613871450330259,1.0,1,1,0.14909525687005762,3
1,2021-10-22,IVL,0.33031910158985744,1.0,0,0,0.4484725056954157,3
1,2021-10-22,IVL,0.15302942922712362,0.0,0,1,0.023418006209579238,3
